x,a,b,c,d,e
9.302367568016052246e-01,3.456914424896240234e+00,4.053861618041992188e+00,4.561712265014648438e+00,4.881574630737304688e+00,4.424069404602050781e+00
9.354191422462463379e-01,3.297555446624755859e+00,4.019416332244873047e+00,4.561975002288818359e+00,4.901535034179687500e+00,4.456275939941406250e+00
9.406014680862426758e-01,3.255061149597167969e+00,4.010428428649902344e+00,4.568159580230712891e+00,4.922249317169189453e+00,4.488353252410888672e+00
9.457838535308837891e-01,3.329430818557739258e+00,4.027013778686523438e+00,4.580559253692626953e+00,4.943782329559326172e+00,4.520308017730712891e+00
9.509662389755249023e-01,3.520665407180786133e+00,4.069236755371093750e+00,4.599419116973876953e+00,4.966195583343505859e+00,4.552145957946777344e+00
9.561486244201660156e-01,3.828764915466308594e+00,4.137136459350585938e+00,4.624945640563964844e+00,4.989549160003662109e+00,4.583874702453613281e+00
9.613310098648071289e-01,4.253729343414306641e+00,4.230734348297119141e+00,4.657310962677001953e+00,5.013900756835937500e+00,4.615501880645751953e+00
9.665133953094482422e-01,4.795558929443359375e+00,4.350042819976806641e+00,4.696660518646240234e+00,5.039306163787841797e+00,4.647033691406250000e+00
9.716957807540893555e-01,5.454253196716308594e+00,4.495069503784179688e+00,4.743113040924072266e+00,5.065817832946777344e+00,4.678478717803955078e+00
9.768781065940856934e-01,6.229803085327148438e+00,4.665815830230712891e+00,4.796769142150878906e+00,5.093487262725830078e+00,4.709844589233398438e+00
9.820604920387268066e-01,7.122226715087890625e+00,4.862288951873779297e+00,4.857713222503662109e+00,5.122362613677978516e+00,4.741139888763427734e+00
9.872428774833679199e-01,8.131514549255371094e+00,5.084487915039062500e+00,4.926013946533203125e+00,5.152490615844726562e+00,4.772371768951416016e+00
9.924252629280090332e-01,9.257667541503906250e+00,5.332414150238037109e+00,5.001729011535644531e+00,5.183915138244628906e+00,4.803549766540527344e+00
9.976076483726501465e-01,1.050068569183349609e+01,5.606067657470703125e+00,5.084906578063964844e+00,5.216678619384765625e+00,4.834681510925292969e+00
1.002789974212646484e+00,1.186055183410644531e+01,5.905444622039794922e+00,5.175585746765136719e+00,5.250819206237792969e+00,4.865775108337402344e+00
1.007972359657287598e+00,1.333729934692382812e+01,6.230553627014160156e+00,5.273801803588867188e+00,5.286375522613525391e+00,4.896841049194335938e+00
1.013154745101928711e+00,1.493091011047363281e+01,6.581389427185058594e+00,5.379581451416015625e+00,5.323384284973144531e+00,4.927886486053466797e+00
1.018337130546569824e+00,1.664138793945312500e+01,6.957953453063964844e+00,5.492947578430175781e+00,5.361877441406250000e+00,4.958920955657958984e+00
1.023519515991210938e+00,1.846872901916503906e+01,7.360245704650878906e+00,5.613920211791992188e+00,5.401888370513916016e+00,4.989953994750976562e+00
1.028701901435852051e+00,2.041293525695800781e+01,7.788265705108642578e+00,5.742514610290527344e+00,5.443445205688476562e+00,5.020993232727050781e+00
1.033884286880493164e+00,2.247400856018066406e+01,8.242013931274414062e+00,5.878744602203369141e+00,5.486577987670898438e+00,5.052048683166503906e+00
