x,a,b,c,d,e
1.418421030044555664e+00,2.007169008255004883e+00,2.949175357818603516e+00,1.081877112388610840e+00,2.876242399215698242e-01,7.330829650163650513e-02
1.426691770553588867e+00,2.003629684448242188e+00,2.949157953262329102e+00,1.087955236434936523e+00,2.892991900444030762e-01,7.373572885990142822e-02
1.434962391853332520e+00,2.000186920166015625e+00,2.948815822601318359e+00,1.094028711318969727e+00,2.909740209579467773e-01,7.416315376758575439e-02
1.443233013153076172e+00,1.996840000152587891e+00,2.948150396347045898e+00,1.100097656250000000e+00,2.926487922668457031e-01,7.459059357643127441e-02
1.451503753662109375e+00,1.993586182594299316e+00,2.947160959243774414e+00,1.106161713600158691e+00,2.943236231803894043e-01,7.501802593469619751e-02
1.459774374961853027e+00,1.990423917770385742e+00,2.945851087570190430e+00,1.112220644950866699e+00,2.959983944892883301e-01,7.544546574354171753e-02
1.468045115470886230e+00,1.987352252006530762e+00,2.944222211837768555e+00,1.118275046348571777e+00,2.976730763912200928e-01,7.587289065122604370e-02
1.476315736770629883e+00,1.984368443489074707e+00,2.942276239395141602e+00,1.124324202537536621e+00,2.993477284908294678e-01,7.630032300949096680e-02
1.484586477279663086e+00,1.981471300125122070e+00,2.940015554428100586e+00,1.130368590354919434e+00,3.010223805904388428e-01,7.672776281833648682e-02
1.492857098579406738e+00,1.978658556938171387e+00,2.937442541122436523e+00,1.136407613754272461e+00,3.026969134807586670e-01,7.715519517660140991e-02
1.501127839088439941e+00,1.975929141044616699e+00,2.934560060501098633e+00,1.142441987991333008e+00,3.043714761734008789e-01,7.758261263370513916e-02
1.509398460388183594e+00,1.973280787467956543e+00,2.931370735168457031e+00,1.148470759391784668e+00,3.060459792613983154e-01,7.801004499197006226e-02
1.517669200897216797e+00,1.970711708068847656e+00,2.927878618240356445e+00,1.154494762420654297e+00,3.077204823493957520e-01,7.843747735023498535e-02
1.525939822196960449e+00,1.968220591545104980e+00,2.924086809158325195e+00,1.160513401031494141e+00,3.093948066234588623e-01,7.886490225791931152e-02
1.534210562705993652e+00,1.965805292129516602e+00,2.919998407363891602e+00,1.166526556015014648e+00,3.110692203044891357e-01,7.929234206676483154e-02
1.542481184005737305e+00,1.963464498519897461e+00,2.915618181228637695e+00,1.172534465789794922e+00,3.127435147762298584e-01,7.971976697444915771e-02
1.550751805305480957e+00,1.961195588111877441e+00,2.910950183868408203e+00,1.178536772727966309e+00,3.144178390502929688e-01,8.014718443155288696e-02
1.559022545814514160e+00,1.958997726440429688e+00,2.905998229980468750e+00,1.184533596038818359e+00,3.160920143127441406e-01,8.057461678981781006e-02
1.567293167114257812e+00,1.956868886947631836e+00,2.900768041610717773e+00,1.190524935722351074e+00,3.177662491798400879e-01,8.100205659866333008e-02
1.575563907623291016e+00,1.954807519912719727e+00,2.895263910293579102e+00,1.196511149406433105e+00,3.194403946399688721e-01,8.142946660518646240e-02
1.583834528923034668e+00,1.952812075614929199e+00,2.889491081237792969e+00,1.202491164207458496e+00,3.211144804954528809e-01,8.185689896345138550e-02
1.592105269432067871e+00,1.950880646705627441e+00,2.883454322814941406e+00,1.208465814590454102e+00,3.227885663509368896e-01,8.228433877229690552e-02
1.600375890731811523e+00,1.949011921882629395e+00,2.877159833908081055e+00,1.214434385299682617e+00,3.244625329971313477e-01,8.271174877882003784e-02
1.608646631240844727e+00,1.947204232215881348e+00,2.870613098144531250e+00,1.220397353172302246e+00,3.261365294456481934e-01,8.313917368650436401e-02
1.616917252540588379e+00,1.945456385612487793e+00,2.863819837570190430e+00,1.226354002952575684e+00,3.278104662895202637e-01,8.356660604476928711e-02
1.625187993049621582e+00,1.943766593933105469e+00,2.856786966323852539e+00,1.232305169105529785e+00,3.294843733310699463e-01,8.399403095245361328e-02
1.633458614349365234e+00,1.942133188247680664e+00,2.849519729614257812e+00,1.238250255584716797e+00,3.311581909656524658e-01,8.442145586013793945e-02
1.641729354858398438e+00,1.940555334091186523e+00,2.842025041580200195e+00,1.244189023971557617e+00,3.328319787979125977e-01,8.484888076782226562e-02
1.649999976158142090e+00,1.939031243324279785e+00,2.834310531616210938e+00,1.250122070312500000e+00,3.345056772232055664e-01,8.527629822492599487e-02
