x,a,b,c,d,e
1.418421030044555664e+00,1.820449233055114746e+00,1.879953026771545410e+00,2.187296390533447266e+00,2.038234710693359375e+00,6.005087494850158691e-01
1.426691770553588867e+00,1.813978910446166992e+00,1.873273491859436035e+00,2.173119783401489258e+00,2.046476840972900391e+00,6.039608120918273926e-01
1.434962391853332520e+00,1.807550191879272461e+00,1.866616725921630859e+00,2.159269094467163086e+00,2.054632902145385742e+00,6.074120402336120605e-01
1.443233013153076172e+00,1.801162242889404297e+00,1.859983801841735840e+00,2.145735740661621094e+00,2.062701940536499023e+00,6.108620762825012207e-01
1.451503753662109375e+00,1.794815778732299805e+00,1.853376269340515137e+00,2.132513284683227539e+00,2.070682525634765625e+00,6.143112778663635254e-01
1.459774374961853027e+00,1.788511514663696289e+00,1.846795320510864258e+00,2.119593858718872070e+00,2.078573942184448242e+00,6.177594661712646484e-01
1.468045115470886230e+00,1.782248735427856445e+00,1.840241789817810059e+00,2.106968879699707031e+00,2.086374998092651367e+00,6.212067008018493652e-01
1.476315736770629883e+00,1.776028275489807129e+00,1.833717584609985352e+00,2.094630718231201172e+00,2.094084262847900391e+00,6.246528029441833496e-01
1.484586477279663086e+00,1.769849538803100586e+00,1.827222943305969238e+00,2.082570791244506836e+00,2.101700305938720703e+00,6.280980706214904785e-01
1.492857098579406738e+00,1.763713121414184570e+00,1.820758819580078125e+00,2.070782184600830078e+00,2.109222650527954102e+00,6.315422654151916504e-01
1.501127839088439941e+00,1.757618665695190430e+00,1.814326882362365723e+00,2.059255123138427734e+00,2.116649627685546875e+00,6.349854469299316406e-01
1.509398460388183594e+00,1.751566648483276367e+00,1.807927966117858887e+00,2.047981739044189453e+00,2.123979806900024414e+00,6.384276747703552246e-01
1.517669200897216797e+00,1.745556354522705078e+00,1.801561951637268066e+00,2.036953687667846680e+00,2.131212949752807617e+00,6.418687105178833008e-01
1.525939822196960449e+00,1.739588856697082520e+00,1.795230746269226074e+00,2.026163578033447266e+00,2.138346433639526367e+00,6.453087329864501953e-01
1.534210562705993652e+00,1.733663439750671387e+00,1.788934588432312012e+00,2.015603065490722656e+00,2.145380496978759766e+00,6.487478017807006836e-01
1.542481184005737305e+00,1.727780580520629883e+00,1.782674551010131836e+00,2.005263566970825195e+00,2.152312755584716797e+00,6.521856784820556641e-01
1.550751805305480957e+00,1.721939444541931152e+00,1.776450872421264648e+00,1.995138049125671387e+00,2.159142732620239258e+00,6.556226611137390137e-01
1.559022545814514160e+00,1.716140866279602051e+00,1.770264029502868652e+00,1.985218048095703125e+00,2.165868997573852539e+00,6.590583920478820801e-01
1.567293167114257812e+00,1.710384607315063477e+00,1.764115452766418457e+00,1.975496411323547363e+00,2.172489881515502930e+00,6.624929904937744141e-01
1.575563907623291016e+00,1.704670429229736328e+00,1.758004426956176758e+00,1.965965390205383301e+00,2.179005384445190430e+00,6.659266352653503418e-01
1.583834528923034668e+00,1.698998212814331055e+00,1.751933097839355469e+00,1.956618189811706543e+00,2.185412645339965820e+00,6.693591475486755371e-01
1.592105269432067871e+00,1.693368434906005859e+00,1.745900869369506836e+00,1.947447538375854492e+00,2.191711425781250000e+00,6.727904677391052246e-01
1.600375890731811523e+00,1.687780857086181641e+00,1.739907979965209961e+00,1.938447475433349609e+00,2.197900295257568359e+00,6.762207150459289551e-01
1.608646631240844727e+00,1.682235240936279297e+00,1.733955502510070801e+00,1.929610133171081543e+00,2.203978300094604492e+00,6.796498298645019531e-01
1.616917252540588379e+00,1.676731944084167480e+00,1.728043913841247559e+00,1.920929789543151855e+00,2.209943771362304688e+00,6.830778121948242188e-01
1.625187993049621582e+00,1.671270608901977539e+00,1.722172617912292480e+00,1.912399888038635254e+00,2.215795516967773438e+00,6.865046024322509766e-01
1.633458614349365234e+00,1.665851354598999023e+00,1.716342926025390625e+00,1.904015064239501953e+00,2.221532583236694336e+00,6.899300813674926758e-01
1.641729354858398438e+00,1.660474419593811035e+00,1.710554838180541992e+00,1.895769119262695312e+00,2.227153539657592773e+00,6.933545470237731934e-01
1.649999976158142090e+00,1.655139684677124023e+00,1.704808235168457031e+00,1.887656807899475098e+00,2.232657194137573242e+00,6.967778801918029785e-01
